"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001387404.1",9.4,7.04789351546751,4.33318207072472,1.62649374072776,0.103844663822305,0.592129891090382
"NM_015503.3",9.52118727112218,7.06633163963192,3.83112154132757,1.84445509321619,0.0651168445937316,0.592129891090382
"NM_001387430.1",9.62018837060537,-6.42275997910819,3.67460305722714,-1.74787858146366,0.0804850543975886,0.592129891090382
"NM_001145812.2",7.6,-6.08248825916626,4.41341020118199,-1.37818330540344,0.168146700310576,0.592129891090382
"NM_005068.3",10.0237917631155,-0.928393023048949,3.63676768487554,-0.255279716356345,0.798507065070363,0.922085539426491
"NM_001374769.1",4.88291760655728,0.872269629813096,4.10074067558716,0.21271026353994,0.831552960816325,0.953712031210506
"NM_001309443.2",20.5415191307829,0.656549389785406,4.1742517803982,0.157285526682527,0.875019826320273,0.956322195683104
"NM_001309444.2",15.6,1.26362659532465,4.13563177944142,0.305546204961053,0.759950184835404,0.893517187018597
"NM_003118.4",11.9818715158682,-6.73990303880687,4.09147077741793,-1.64730567697231,0.0994952316242353,0.592129891090382
"NM_001352680.2",10.9659262846767,0.194503017413375,3.6473225352444,0.053327616500563,0.957470876717118,0.988028457888941
"NM_001352681.1",8,0.585957738737289,4.11074091197264,0.142543096557283,0.8866510407576,0.956322195683104
"XM_011514438.3",8.05226090708299,-6.16609380956725,4.41307256153342,-1.39723372403029,0.162343298520758,0.592129891090382
"NM_015255.3",11.0637827742748,0.55017630347627,3.65590927447881,0.150489594289701,0.88037835980262,0.956322195683104
"NM_001363705.2",7.66378277427483,-0.855053851399477,4.12362321863513,-0.207354990032889,0.835732631378821,0.953712031210506
"XM_047418493.1",9.94594911234744,1.83418405800071,4.09433261976859,0.447981204346895,0.654166761519219,0.85748886307249
"NM_001184801.2",0.206378277427483,1.53216438190491,4.55905517445417,0.336070594295527,0.736817632428091,0.885154408085953
"XM_011514441.3",5.15945693568708,6.18219350954725,4.33744810834314,1.42530662157219,0.154068586914823,0.592129891090382
"XM_005248966.4",2.74955250485761,-4.61763518199053,4.42395348827458,-1.04378022830242,0.296587081224573,0.592129891090382
